PAOC_label,SEX_label,PINCP,MARHYP,PAP
Females with own children under 6 years and 6 to 17 years,Female,28000,1936,0
Females with own children 6 to 17 years only,Female,28000,1936,0
Females with own children 6 to 17 years only,Female,28000,1936,0
Females with own children 6 to 17 years only,Female,27000,1936,0
Females with own children 6 to 17 years only,Female,27000,1936,0
Females with own children under 6 years only,Female,27000,1936,0
Females with own children 6 to 17 years only,Female,27000,1936,0
Females with own children under 6 years only,Female,27000,1936,0
Females with own children 6 to 17 years only,Female,27000,1936,0
Females with own children 6 to 17 years only,Female,27000,1936,0
Females with own children under 6 years only,Female,27000,1936,0
Females with own children under 6 years only,Female,27000,1936,0
Females with own children under 6 years only,Female,26200,1936,0
Females with own children 6 to 17 years only,Female,26200,1936,200
Females with own children under 6 years only,Female,26200,1936,1200
Females with own children 6 to 17 years only,Female,26110,1936,0
Females with own children 6 to 17 years only,Female,26000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,26000,1936,0
Females with own children 6 to 17 years only,Female,26000,1936,0
Females with own children 6 to 17 years only,Female,26000,1936,0
Females with own children 6 to 17 years only,Female,26000,1936,0
Females with own children 6 to 17 years only,Female,26000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,26000,1936,0
Females with own children 6 to 17 years only,Female,26000,1936,0
Females with own children under 6 years only,Female,26000,1936,0
Females with own children under 6 years only,Female,25100,1936,600
Females with own children under 6 years only,Female,25000,1936,0
Females with own children under 6 years only,Female,25000,1936,0
Females with own children 6 to 17 years only,Female,25000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,25000,1936,0
Females with own children under 6 years only,Female,25000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,25000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,25000,1936,0
Females with own children under 6 years only,Female,25000,1936,0
Females with own children under 6 years only,Female,25000,1936,0
Females with own children under 6 years only,Female,25000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,25000,1936,0
Females with own children under 6 years only,Female,25000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,24500,1936,0
Females with own children 6 to 17 years only,Female,24000,1936,0
Females with own children 6 to 17 years only,Female,24000,1936,0
Females with own children under 6 years only,Female,24000,1936,0
Females with own children under 6 years only,Female,24000,1936,0
Females with own children under 6 years only,Female,24000,1936,0
Females with own children under 6 years only,Female,24000,1936,0
Females with own children 6 to 17 years only,Female,24000,1936,0
Females with own children under 6 years only,Female,24000,1936,0
Females with own children under 6 years only,Female,24000,1936,0
Females with own children 6 to 17 years only,Female,24000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,24000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,24000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,24000,1936,0
Females with own children 6 to 17 years only,Female,23800,1936,0
Females with own children under 6 years only,Female,23000,1936,0
Females with own children under 6 years only,Female,23000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,23000,1936,0
Females with own children 6 to 17 years only,Female,23000,1936,0
Females with own children 6 to 17 years only,Female,23000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,23000,1936,0
Females with own children under 6 years only,Female,23000,1936,0
Females with own children 6 to 17 years only,Female,23000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,23000,1936,0
Females with own children 6 to 17 years only,Female,23000,1936,0
Females with own children 6 to 17 years only,Female,23000,1936,0
Females with own children under 6 years only,Female,23000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,22800,1936,0
Females with own children 6 to 17 years only,Female,22600,1936,0
Females with own children under 6 years and 6 to 17 years,Female,22000,1936,0
Females with own children 6 to 17 years only,Female,22000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,22000,1936,0
Females with own children 6 to 17 years only,Female,22000,1936,0
Females with own children 6 to 17 years only,Female,22000,1936,0
Females with own children 6 to 17 years only,Female,22000,1936,0
Females with own children under 6 years only,Female,22000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,22000,1936,4000
Females with own children under 6 years only,Female,22000,1936,0
Females with own children under 6 years only,Female,21900,1936,0
Females with own children under 6 years only,Female,21800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,21700,1936,0
Females with own children under 6 years and 6 to 17 years,Female,21700,1936,21700
Females with own children under 6 years and 6 to 17 years,Female,21300,1936,0
Females with own children 6 to 17 years only,Female,21000,1936,0
Females with own children under 6 years only,Female,21000,1936,0
Females with own children 6 to 17 years only,Female,21000,1936,0
Females with own children 6 to 17 years only,Female,21000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,21000,1936,0
Females with own children 6 to 17 years only,Female,21000,1936,0
Females with own children 6 to 17 years only,Female,20980,1936,200
Females with own children under 6 years and 6 to 17 years,Female,20800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,20800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,20400,1936,0
Females with own children under 6 years and 6 to 17 years,Female,20300,1936,0
Females with own children 6 to 17 years only,Female,20030,1936,0
Females with own children under 6 years only,Female,20000,1936,0
Females with own children under 6 years only,Female,20000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,20000,1936,0
Females with own children 6 to 17 years only,Female,20000,1936,0
Females with own children under 6 years only,Female,20000,1936,0
Females with own children under 6 years only,Female,20000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,20000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,20000,1936,0
Females with own children 6 to 17 years only,Female,20000,1936,0
Females with own children under 6 years only,Female,20000,1936,0
Females with own children under 6 years only,Female,20000,1936,0
Females with own children 6 to 17 years only,Female,20000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,20000,1936,0
Females with own children 6 to 17 years only,Female,20000,1936,0
Females with own children under 6 years only,Female,20000,1936,0
Females with own children under 6 years only,Female,20000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,19900,1936,0
Females with own children under 6 years only,Female,19800,1936,3000
Females with own children 6 to 17 years only,Female,19600,1936,0
Females with own children under 6 years and 6 to 17 years,Female,19500,1936,0
Females with own children under 6 years only,Female,19500,1936,1500
Females with own children 6 to 17 years only,Female,19500,1936,0
Females with own children under 6 years only,Female,19400,1936,0
Females with own children 6 to 17 years only,Female,19400,1936,400
Females with own children under 6 years only,Female,19340,1936,840
Females with own children 6 to 17 years only,Female,19200,1936,0
Females with own children 6 to 17 years only,Female,19200,1936,0
Females with own children under 6 years only,Female,19200,1936,0
Females with own children 6 to 17 years only,Female,19200,1936,0
Females with own children under 6 years only,Female,19000,1936,0
Females with own children 6 to 17 years only,Female,18800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,18700,1936,0
Females with own children under 6 years and 6 to 17 years,Female,18600,1936,0
Females with own children 6 to 17 years only,Female,18200,1936,3000
Females with own children under 6 years and 6 to 17 years,Female,18150,1936,0
Females with own children 6 to 17 years only,Female,18100,1936,0
Females with own children under 6 years and 6 to 17 years,Female,18030,1936,0
Females with own children 6 to 17 years only,Female,18000,1936,0
Females with own children 6 to 17 years only,Female,18000,1936,0
Females with own children under 6 years only,Female,18000,1936,0
Females with own children under 6 years only,Female,18000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,18000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,18000,1936,0
Females with own children under 6 years only,Female,18000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,18000,1936,0
Females with own children under 6 years only,Female,18000,1936,0
Females with own children under 6 years only,Female,18000,1936,0
Females with own children under 6 years only,Female,17800,1936,0
Females with own children 6 to 17 years only,Female,17800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,17600,1936,0
Females with own children 6 to 17 years only,Female,17400,1936,0
Females with own children under 6 years and 6 to 17 years,Female,17150,1936,0
Females with own children under 6 years and 6 to 17 years,Female,16200,1936,0
Females with own children 6 to 17 years only,Female,16000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,16000,1936,0
Females with own children 6 to 17 years only,Female,16000,1936,0
Females with own children 6 to 17 years only,Female,16000,1936,0
Females with own children 6 to 17 years only,Female,16000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,15800,1936,0
Females with own children 6 to 17 years only,Female,15700,1936,6700
Females with own children 6 to 17 years only,Female,15600,1936,0
Females with own children 6 to 17 years only,Female,15500,1936,0
Females with own children under 6 years only,Female,15100,1936,0
Females with own children under 6 years only,Female,15000,1936,0
Females with own children under 6 years only,Female,15000,1936,0
Females with own children under 6 years only,Female,15000,1936,0
Females with own children under 6 years only,Female,15000,1936,0
Females with own children under 6 years only,Female,15000,1936,0
Females with own children 6 to 17 years only,Female,15000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,15000,1936,3000
Females with own children under 6 years only,Female,15000,1936,0
Females with own children under 6 years only,Female,14720,1936,2000
Females with own children 6 to 17 years only,Female,14600,1936,0
Females with own children under 6 years only,Female,14500,1936,0
Females with own children under 6 years only,Female,14490,1936,190
Females with own children under 6 years only,Female,14400,1936,0
Females with own children under 6 years only,Female,14100,1936,5000
Females with own children under 6 years only,Female,14100,1936,0
Females with own children 6 to 17 years only,Female,14000,1936,0
Females with own children under 6 years only,Female,14000,1936,2000
Females with own children under 6 years and 6 to 17 years,Female,14000,1936,5000
Females with own children under 6 years only,Female,14000,1936,0
Females with own children 6 to 17 years only,Female,14000,1936,0
Females with own children under 6 years only,Female,13600,1936,0
Females with own children 6 to 17 years only,Female,13600,1936,0
Females with own children under 6 years and 6 to 17 years,Female,13300,1936,0
Females with own children under 6 years and 6 to 17 years,Female,13100,1936,0
Females with own children under 6 years only,Female,13000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,13000,1936,0
Females with own children 6 to 17 years only,Female,13000,1936,0
Females with own children under 6 years only,Female,13000,1936,0
Females with own children 6 to 17 years only,Female,13000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,13000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,13000,1936,0
Females with own children 6 to 17 years only,Female,13000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,13000,1936,0
Females with own children under 6 years only,Female,13000,1936,0
Females with own children 6 to 17 years only,Female,13000,1936,0
Females with own children 6 to 17 years only,Female,12800,1936,0
Females with own children 6 to 17 years only,Female,12700,1936,3000
Females with own children under 6 years only,Female,12300,1936,300
Females with own children under 6 years only,Female,12000,1936,0
Females with own children under 6 years only,Female,12000,1936,0
Females with own children 6 to 17 years only,Female,12000,1936,0
Females with own children 6 to 17 years only,Female,12000,1936,0
Females with own children under 6 years only,Female,12000,1936,6000
Females with own children under 6 years only,Female,12000,1936,0
Females with own children under 6 years only,Female,11800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,11600,1936,0
Females with own children 6 to 17 years only,Female,11500,1936,0
Females with own children under 6 years only,Female,11400,1936,0
Females with own children under 6 years and 6 to 17 years,Female,11400,1936,0
Females with own children under 6 years and 6 to 17 years,Female,11300,1936,0
Females with own children 6 to 17 years only,Female,11200,1936,0
Females with own children under 6 years and 6 to 17 years,Female,11200,1936,0
Females with own children under 6 years only,Female,11200,1936,0
Females with own children under 6 years and 6 to 17 years,Female,11000,1936,0
Females with own children 6 to 17 years only,Female,11000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,11000,1936,0
Females with own children 6 to 17 years only,Female,10900,1936,0
Females with own children under 6 years and 6 to 17 years,Female,10800,1936,0
Females with own children 6 to 17 years only,Female,10800,1936,2000
Females with own children 6 to 17 years only,Female,10800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,10600,1936,0
Females with own children under 6 years only,Female,10400,1936,0
Females with own children under 6 years and 6 to 17 years,Female,10200,1936,0
Females with own children 6 to 17 years only,Female,10180,1936,180
Females with own children 6 to 17 years only,Female,10000,1936,0
Females with own children 6 to 17 years only,Female,10000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,10000,1936,0
Females with own children 6 to 17 years only,Female,10000,1936,0
Females with own children under 6 years only,Female,10000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,10000,1936,0
Females with own children under 6 years only,Female,10000,1936,0
Females with own children 6 to 17 years only,Female,10000,1936,0
Females with own children 6 to 17 years only,Female,9900,1936,3900
Females with own children under 6 years and 6 to 17 years,Female,9600,1936,0
Females with own children under 6 years and 6 to 17 years,Female,9600,1936,0
Females with own children under 6 years only,Female,9600,1936,0
Females with own children under 6 years and 6 to 17 years,Female,9600,1936,0
Females with own children 6 to 17 years only,Female,9420,1936,420
Females with own children under 6 years only,Female,9300,1936,600
Females with own children 6 to 17 years only,Female,9300,1936,5000
Females with own children under 6 years and 6 to 17 years,Female,9200,1936,4200
Females with own children 6 to 17 years only,Female,9100,1936,0
Females with own children 6 to 17 years only,Female,9100,1936,0
Females with own children 6 to 17 years only,Female,9000,1936,0
Females with own children under 6 years only,Female,9000,1936,0
Females with own children under 6 years only,Female,9000,1936,0
Females with own children 6 to 17 years only,Female,9000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,9000,1936,0
Females with own children 6 to 17 years only,Female,8900,1936,0
Females with own children under 6 years only,Female,8880,1936,480
Females with own children 6 to 17 years only,Female,8800,1936,0
Females with own children under 6 years only,Female,8800,1936,0
Females with own children under 6 years only,Female,8800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,8800,1936,0
Females with own children under 6 years only,Female,8800,1936,0
Females with own children 6 to 17 years only,Female,8600,1936,0
Females with own children under 6 years only,Female,8500,1936,0
Females with own children under 6 years and 6 to 17 years,Female,8400,1936,0
Females with own children under 6 years and 6 to 17 years,Female,8400,1936,0
Females with own children under 6 years and 6 to 17 years,Female,8300,1936,0
Females with own children under 6 years and 6 to 17 years,Female,8100,1936,0
Females with own children under 6 years and 6 to 17 years,Female,8020,1936,7600
Females with own children under 6 years only,Female,8000,1936,0
Females with own children 6 to 17 years only,Female,8000,1936,0
